action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,requested_activity_type,standard_value_num,pIC50,selected_endpoint,activity_type_cleaned
,,32130,[],CHEMBL681849,In vitro inhibition of human Factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,,,CHEMBL1131910,Bioorg Med Chem Lett,1999.0,"{'bei': '11.77', 'le': '0.23', 'lle': '7.60', 'sei': '3.35'}",,CHEMBL117716,,CHEMBL117716,7.35,0,http://www.openphacts.org/units/Nanomolar,220189,=,1,1,=,,IC50,nM,,44.4,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,44.4,IC50,44.4,7.35261702988538,pIC50,IC50
,,34307,[],CHEMBL662329,Binding affinity of the compoumd to human coagulation factor Xa,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,,,CHEMBL1146806,Bioorg Med Chem Lett,2004.0,"{'bei': '14.20', 'le': '0.28', 'lle': '1.15', 'sei': '8.45'}",,CHEMBL337921,,CHEMBL337921,6.75,0,http://www.openphacts.org/units/Nanomolar,235713,=,1,1,=,,IC50,nM,,180.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,180.0,IC50,180.0,6.7447274948966935,pIC50,IC50
,,34313,[],CHEMBL662329,Binding affinity of the compoumd to human coagulation factor Xa,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,,,CHEMBL1146806,Bioorg Med Chem Lett,2004.0,"{'bei': '14.39', 'le': '0.29', 'lle': '2.12', 'sei': '7.93'}",,CHEMBL340500,,CHEMBL340500,6.92,0,http://www.openphacts.org/units/Nanomolar,235735,=,1,1,=,,IC50,nM,,120.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,120.0,IC50,120.0,6.920818753952375,pIC50,IC50
,,34568,[],CHEMBL681849,In vitro inhibition of human Factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CNC(=O)c2cnccn2)NS(=O)(=O)Cc2ccccc2)C1O,,,CHEMBL1131910,Bioorg Med Chem Lett,1999.0,"{'bei': '11.59', 'le': '0.23', 'lle': '8.91', 'sei': '2.80'}",,CHEMBL117721,,CHEMBL117721,6.51,0,http://www.openphacts.org/units/Nanomolar,220178,=,1,1,=,,IC50,nM,,311.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,311.0,IC50,311.0,6.507239610973162,pIC50,IC50
,,34572,[],CHEMBL681849,In vitro inhibition of human Factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc(O)nc2)NS(=O)(=O)Cc2ccccc2)C1O,,,CHEMBL1131910,Bioorg Med Chem Lett,1999.0,"{'bei': '13.91', 'le': '0.27', 'lle': '9.91', 'sei': '3.42'}",,CHEMBL331807,,CHEMBL331807,8.21,0,http://www.openphacts.org/units/Nanomolar,220195,=,1,1,=,,IC50,nM,,6.1,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,6.1,IC50,6.1,8.214670164989233,pIC50,IC50
,,35766,[],CHEMBL681849,In vitro inhibition of human Factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccccn2)NS(=O)(=O)Cc2ccccc2)C1O,,,CHEMBL1131910,Bioorg Med Chem Lett,1999.0,"{'bei': '13.38', 'le': '0.26', 'lle': '9.09', 'sei': '3.50'}",,CHEMBL323642,,CHEMBL323642,7.69,0,http://www.openphacts.org/units/Nanomolar,220186,=,1,1,=,,IC50,nM,,20.5,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,20.5,IC50,20.5,7.688246138944246,pIC50,IC50
,,36762,[],CHEMBL662329,Binding affinity of the compoumd to human coagulation factor Xa,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1F,,,CHEMBL1146806,Bioorg Med Chem Lett,2004.0,"{'bei': '16.49', 'le': '0.33', 'lle': '3.21', 'sei': '9.42'}",,CHEMBL125499,,CHEMBL125499,8.23,0,http://www.openphacts.org/units/Nanomolar,235728,=,1,1,=,,IC50,nM,,5.9,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,5.9,IC50,5.9,8.229147988357855,pIC50,IC50
,,37939,[],CHEMBL662329,Binding affinity of the compoumd to human coagulation factor Xa,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCC2=O)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004.0,"{'bei': '13.92', 'le': '0.28', 'lle': '1.03', 'sei': '8.04'}",,CHEMBL124846,,CHEMBL124846,6.28,0,http://www.openphacts.org/units/Nanomolar,235738,=,1,1,=,,IC50,nM,,530.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,530.0,IC50,530.0,6.275724130399211,pIC50,IC50
,,38278,[],CHEMBL681849,In vitro inhibition of human Factor Xa.,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnc3ccccc3c2)NC(=O)OCc2ccccc2)C1O,,,CHEMBL1131910,Bioorg Med Chem Lett,1999.0,"{'bei': '11.20', 'le': '0.21', 'lle': '6.21', 'sei': '3.20'}",,CHEMBL324485,,CHEMBL324485,6.77,0,http://www.openphacts.org/units/Nanomolar,220180,=,1,1,=,,IC50,nM,,168.8,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,168.8,IC50,168.8,6.772627557710363,pIC50,IC50
,,40290,[],CHEMBL662329,Binding affinity of the compoumd to human coagulation factor Xa,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004.0,"{'bei': '12.09', 'le': '0.25', 'lle': '0.11', 'sei': '6.86'}",,CHEMBL331231,,CHEMBL331231,6.31,0,http://www.openphacts.org/units/Nanomolar,235737,=,1,1,=,,IC50,nM,,490.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,IC50,nM,UO_0000065,,490.0,IC50,490.0,6.309803919971486,pIC50,IC50
