action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,requested_activity_type,standard_value_num,pKi,selected_endpoint,activity_type_cleaned
,,32295,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,CC(=N)N1CCC(Oc2ccc3nc(CCC(=O)O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '17.33', 'le': '0.32', 'lle': '4.51', 'sei': '6.29'}",,CHEMBL369583,,CHEMBL369583,8.89,0,http://www.openphacts.org/units/Nanomolar,346292,=,1,1,=,,Ki,nM,,1.3,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,1.3,Ki,1.3,8.886056647693163,pKi,Ki
,,32299,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '18.02', 'le': '0.33', 'lle': '3.21', 'sei': '8.36'}",,CHEMBL176744,,CHEMBL176744,8.70,0,http://www.openphacts.org/units/Nanomolar,346308,=,1,1,=,,Ki,nM,,2.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,2.0,Ki,2.0,8.698970004336019,pKi,Ki
,,32302,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,CCC(C)c1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '17.08', 'le': '0.31', 'lle': '2.60', 'sei': '8.15'}",,CHEMBL367476,,CHEMBL367476,8.48,0,http://www.openphacts.org/units/Nanomolar,346306,=,1,1,=,,Ki,nM,,3.3,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,3.3,Ki,3.3,8.481486060122112,pKi,Ki
,,32572,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)CC1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '10.27', 'le': '0.20', 'lle': '0.21', 'sei': '4.90'}",,CHEMBL145741,,CHEMBL145741,5.70,0,http://www.openphacts.org/units/Nanomolar,278753,=,1,1,=,,Ki,nM,,1999.86,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,5.699,Ki,1999.86,5.699000406013823,pKi,Ki
,,32575,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1ccc2ccccc2c1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '8.01', 'le': '0.15', 'lle': '1.43', 'sei': '3.20'}",,CHEMBL145795,,CHEMBL145795,4.57,0,http://www.openphacts.org/units/Nanomolar,278768,=,1,1,=,,Ki,nM,,26977.39,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.569,Ki,26977.39,4.569000069616974,pKi,Ki
,,32578,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H](C(=O)NCc3ccccc3)C2)c1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '7.98', 'le': '0.15', 'lle': '1.20', 'sei': '3.28'}",,CHEMBL357211,,CHEMBL357211,4.77,0,http://www.openphacts.org/units/Nanomolar,278762,=,1,1,=,,Ki,nM,,16982.44,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.77,Ki,16982.44,4.769999911123512,pKi,Ki
,,32581,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NC(=O)OC(C)(C)C)CC1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '10.78', 'le': '0.20', 'lle': '1.53', 'sei': '3.86'}",,CHEMBL435423,,CHEMBL435423,4.19,0,http://www.openphacts.org/units/Nanomolar,278782,=,1,1,=,,Ki,nM,,64565.42,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.19,Ki,64565.42,4.190000019529944,pKi,Ki
,,32584,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H]2C(=O)O)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1132189,J Med Chem,1999,,,CHEMBL1161260,,CHEMBL1161260,,0,http://www.openphacts.org/units/Nanomolar,278778,=,1,1,=,,Ki,nM,,130016.96,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,3.886,Ki,130016.96,3.8859999926624793,pKi,Ki
,,32587,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)C(=O)O)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1132189,J Med Chem,1999,,,CHEMBL1161256,,CHEMBL1161256,,0,http://www.openphacts.org/units/Nanomolar,278821,=,1,1,=,,Ki,nM,,130016.96,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,3.886,Ki,130016.96,3.8859999926624793,pKi,Ki
,,33451,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)C(C)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '12.82', 'le': '0.24', 'lle': '2.19', 'sei': '5.71'}",,CHEMBL366405,,CHEMBL366405,7.10,0,http://www.openphacts.org/units/Nanomolar,346298,=,1,1,=,,Ki,nM,,80.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,80.0,Ki,80.0,7.096910013008056,pKi,Ki
,,33776,[],CHEMBL872476,Inhibitory constant against Coagulation factor Xa (factor Xa),B,,,BAO_0000192,BAO_0000357,single protein format,Cc1c(F)c(Oc2cccc(C(=N)N)c2)cc(Oc2cccc(C(=N)N)c2)c1F,,,CHEMBL1132402,J Med Chem,1999,"{'bei': '19.98', 'le': '0.37', 'lle': '3.49', 'sei': '6.70'}",,CHEMBL126575,,CHEMBL126575,7.92,0,http://www.openphacts.org/units/Nanomolar,243554,=,1,1,=,,Ki,nM,,12.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,12.0,Ki,12.0,7.920818753952375,pKi,Ki
,,33797,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1c(C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(C)CC2)c(C)c2c1OC(C)(C)CC2,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '7.39', 'le': '0.14', 'lle': '-0.05', 'sei': '3.26'}",,CHEMBL142241,,CHEMBL142241,4.10,0,http://www.openphacts.org/units/Nanomolar,278743,=,1,1,=,,Ki,nM,,79983.43,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.097,Ki,79983.43,4.09699997556969,pKi,Ki
,,33800,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)C1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '9.08', 'le': '0.18', 'lle': '2.31', 'sei': '3.33'}",,CHEMBL145517,,CHEMBL145517,4.75,0,http://www.openphacts.org/units/Nanomolar,278797,=,1,1,=,,Ki,nM,,17988.71,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.745,Ki,17988.71,4.7449999795098705,pKi,Ki
,,33803,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)O)c1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '8.69', 'le': '0.17', 'lle': '1.94', 'sei': '2.88'}",,CHEMBL1161253,,CHEMBL1161253,4.42,0,http://www.openphacts.org/units/Nanomolar,278764,=,1,1,=,,Ki,nM,,38018.94,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.42,Ki,38018.94,4.419999995796937,pKi,Ki
,,35021,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CC1CCN(C(=O)[C@@H](N)Cc2cccc(C(=N)N)c2)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1132189,J Med Chem,1999,,,CHEMBL358508,,CHEMBL358508,,0,http://www.openphacts.org/units/Nanomolar,278822,=,1,1,=,,Ki,nM,,230144.18,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,3.638,Ki,230144.18,3.6380000032850797,pKi,Ki
,,35937,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,CCCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '17.22', 'le': '0.32', 'lle': '2.85', 'sei': '8.22'}",,CHEMBL176640,,CHEMBL176640,8.55,0,http://www.openphacts.org/units/Nanomolar,346304,=,1,1,=,,Ki,nM,,2.8,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,2.8,Ki,2.8,8.55284196865778,pKi,Ki
,,35943,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)CCCN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '13.59', 'le': '0.25', 'lle': '2.47', 'sei': '6.05'}",,CHEMBL366855,,CHEMBL366855,7.52,0,http://www.openphacts.org/units/Nanomolar,346309,=,1,1,=,,Ki,nM,,30.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,30.0,Ki,30.0,7.522878745280337,pKi,Ki
,,36291,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '9.17', 'le': '0.18', 'lle': '1.12', 'sei': '3.77'}",,CHEMBL358970,,CHEMBL358970,4.39,0,http://www.openphacts.org/units/Nanomolar,278740,=,1,1,=,,Ki,nM,,41020.41,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.387,Ki,41020.41,4.387000003162004,pKi,Ki
,,36294,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CC(C)OC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)C1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '8.71', 'le': '0.17', 'lle': '1.60', 'sei': '3.36'}",,CHEMBL356580,,CHEMBL356580,4.80,0,http://www.openphacts.org/units/Nanomolar,278789,=,1,1,=,,Ki,nM,,15995.58,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,4.796,Ki,15995.58,4.796000007769142,pKi,Ki
,,36297,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CS(=O)(=O)N1CCN(C(=O)[C@@H](N)Cc2cccc(C(=N)N)c2)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1132189,J Med Chem,1999,,,CHEMBL358999,,CHEMBL358999,,0,http://www.openphacts.org/units/Nanomolar,278772,=,1,1,=,,Ki,nM,,1000000.0,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,3.0,Ki,1000000.0,3.0,pKi,Ki
,,37142,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,CC(=N)N1CCC(N(CC(N)=O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '18.29', 'le': '0.34', 'lle': '5.76', 'sei': '6.62'}",,CHEMBL369480,,CHEMBL369480,9.34,0,http://www.openphacts.org/units/Nanomolar,346300,=,1,1,=,,Ki,nM,,0.46,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,0.46,Ki,0.46,9.337242168318426,pKi,Ki
,,37411,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CC(C)(C)c1ccc(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCN(S(C)(=O)=O)CC2)cc1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '9.40', 'le': '0.19', 'lle': '3.91', 'sei': '3.36'}",,CHEMBL358110,,CHEMBL358110,5.17,0,http://www.openphacts.org/units/Nanomolar,278738,=,1,1,=,,Ki,nM,,6760.83,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,5.17,Ki,6760.83,5.169999984192582,pKi,Ki
,,37414,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCc3ccccc32)c1,,,CHEMBL1132189,J Med Chem,1999,"{'bei': '11.00', 'le': '0.21', 'lle': '1.65', 'sei': '4.85'}",,CHEMBL356711,,CHEMBL356711,5.64,0,http://www.openphacts.org/units/Nanomolar,278799,=,1,1,=,,Ki,nM,,2301.44,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,5.638,Ki,2301.44,5.638000342954921,pKi,Ki
,,37417,[],CHEMBL857787,Binding affinity towards Coagulation factor Xa,B,,,BAO_0000192,BAO_0000357,single protein format,CNC(=O)[C@H](Cc1cccc(C(=N)N)c1)NS(=O)(=O)c1c(C)cc(OC)c(C)c1C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1132189,J Med Chem,1999,,,CHEMBL144847,,CHEMBL144847,,0,http://www.openphacts.org/units/Nanomolar,278770,=,1,1,=,,Ki,nM,,190107.83,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,pKi,,UO_0000065,,3.721,Ki,190107.83,3.7209999954135506,pKi,Ki
,,38405,[],CHEMBL661804,In vitro inhibitory activity against human Coagulation factor X,B,,,BAO_0000192,BAO_0000357,single protein format,CC(=N)N1CCC(Oc2ccc3c(c2)nc(CCC(=O)O)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,,,CHEMBL1133358,Bioorg Med Chem Lett,2000,"{'bei': '16.05', 'le': '0.30', 'lle': '3.85', 'sei': '5.82'}",,CHEMBL369159,,CHEMBL369159,8.23,0,http://www.openphacts.org/units/Nanomolar,346303,=,1,1,=,,Ki,nM,,5.9,CHEMBL244,Homo sapiens,Coagulation factor X,9606,,,Ki,nM,UO_0000065,,5.9,Ki,5.9,8.229147988357855,pKi,Ki
