metric,value
input_activity_records,4232.0
input_unique_molecule_chembl_ids,3741.0
input_unique_smiles_original,3741.0
after_units_nM_records,4232.0
after_relation_equal_records,4232.0
after_positive_numeric_value_records,4232.0
after_nonmissing_smiles_records,4232.0
after_rdkit_valid_records,4232.0
after_rdkit_valid_unique_molecule_chembl_ids,3741.0
after_rdkit_valid_unique_canonical_smiles,3716.0
after_endpoint_calculated_records,4232.0
invalid_or_dropped_record_level_rows,0.0
valid_activity_records_pre_aggregation,4232.0
valid_unique_molecule_chembl_ids_pre_aggregation,3741.0
valid_unique_canonical_smiles_pre_aggregation,3716.0
molecule_level_rows_after_aggregation,3741.0
molecule_level_unique_canonical_smiles_after_aggregation,3716.0
high_replicate_spread_molecule_groups,21.0
molecule_level_rows_after_high_spread_filter,3720.0
structure_level_rows_final,3695.0
structure_level_unique_canonical_smiles_final,3695.0
final_unique_molecule_chembl_ids,3695.0
molecule_level_rows_before_structure_dedup,3720.0
unique_canonical_smiles_before_structure_dedup,3696.0
rows_with_duplicate_canonical_smiles_before_structure_dedup,48.0
duplicate_canonical_smiles_groups_before_structure_dedup,24.0
structure_level_rows_after_collapse_before_high_spread_drop,3696.0
high_duplicate_smiles_spread_groups,1.0
final_structure_level_rows_after_structure_dedup,3695.0
duplicate_smiles_spread_threshold_log_units,1.0
