molecule_chembl_id,canonical_smiles,canonical_smiles_rdkit,smiles,endpoint,target_pKi,target_value,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,p_endpoint_range,high_replicate_spread,n_activity_records,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids
CHEMBL37251,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1,pKi,10.886056647693163,10.886056647693163,10.902334269451284,0.04306653910755834,10.886056647693163,11.0,0.11394335230683694,False,7,7,7,1,1,0.013,0.01,0.013,34,474.5460000000002,B,CHEMBL1273257;CHEMBL4196321;CHEMBL660835;CHEMBL661220;CHEMBL661801;CHEMBL827136;CHEMBL875001,CHEMBL1135946;CHEMBL1136021;CHEMBL1137915;CHEMBL1145122;CHEMBL1145914;CHEMBL1268866;CHEMBL4196003,1187244;1457240;18535289;297345;3519199;516646;725078
CHEMBL152854,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1.O=C(O)C(F)(F)F,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1,pKi,10.886056647693163,10.886056647693163,10.886056647693163,0.0,10.886056647693163,10.886056647693163,0.0,False,2,2,2,1,1,0.013,0.013,0.013,34,474.5460000000002,B,CHEMBL662444;CHEMBL806254,CHEMBL1134213;CHEMBL1134648,263089;299955
CHEMBL160489,N=C(N)c1cccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1.O=C(O)C(F)(F)F,N=C(N)c1cccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,N=C(N)c1cccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,pKi,10.431798275933005,10.431798275933005,10.431798275933005,0.0,10.431798275933005,10.431798275933005,0.0,False,1,1,1,1,1,0.037,0.037,0.037,33,462.4950000000002,B,CHEMBL806254,CHEMBL1134213,267780
CHEMBL332157,N=C(N)c1cccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,N=C(N)c1cccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,N=C(N)c1cccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,pKi,10.431798275933005,10.431798275933005,10.431798275933005,0.0,10.431798275933005,10.431798275933005,0.0,False,1,1,1,1,1,0.037,0.037,0.037,33,462.4950000000002,B,CHEMBL682006,CHEMBL1136511,830318
CHEMBL7651,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,pKi,9.958607314841775,9.958607314841775,9.895588569435093,0.10915166887362263,9.769551078621726,9.958607314841775,0.18905623622004875,False,3,2,2,1,1,0.11,0.11,0.17,39,546.5730000000001,B,CHEMBL663266;CHEMBL682004,CHEMBL1132652;CHEMBL1145764,1027767;378268;383970
CHEMBL140072,N=C(N)c1cccc(-c2nocc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,N=C(N)c1cccc(-c2nocc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,N=C(N)c1cccc(-c2nocc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,pKi,9.823908740944319,9.823908740944319,9.823908740944319,0.0,9.823908740944319,9.823908740944319,0.0,False,3,3,3,1,1,0.15,0.15,0.15,33,461.50300000000016,B,CHEMBL1273257;CHEMBL661220;CHEMBL661793,CHEMBL1133078;CHEMBL1145122;CHEMBL1268866,3519198;514164;545162
CHEMBL153611,N=C(N)c1cccc(-c2nocc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1.O=C(O)C(F)(F)F,N=C(N)c1cccc(-c2nocc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,N=C(N)c1cccc(-c2nocc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,pKi,9.823908740944319,9.823908740944319,9.823908740944319,0.0,9.823908740944319,9.823908740944319,0.0,False,2,2,2,1,1,0.15,0.15,0.15,33,461.50300000000016,B,CHEMBL662444;CHEMBL806254,CHEMBL1134213;CHEMBL1134648,237438;293422
CHEMBL93210,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1.O=C(O)C(F)(F)F,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,pKi,9.769551078621726,9.769551078621726,9.769551078621726,0.0,9.769551078621726,9.769551078621726,0.0,False,1,1,1,1,1,0.17,0.17,0.17,39,546.5730000000001,B,CHEMBL663266,CHEMBL1132652,1037659
CHEMBL206335,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,pKi,9.721246399047171,9.721246399047171,9.637122182528708,0.2790084619743605,8.795880017344075,9.721246399047171,0.9253663817030962,False,11,10,10,1,1,0.19,0.19,1.6,38,528.4700000000003,B,CHEMBL1010168;CHEMBL1072755;CHEMBL1273257;CHEMBL859919;CHEMBL868637;CHEMBL900663;CHEMBL913626;CHEMBL926651;CHEMBL927722;CHEMBL946423,CHEMBL1137566;CHEMBL1139730;CHEMBL1140716;CHEMBL1140796;CHEMBL1146127;CHEMBL1146858;CHEMBL1154516;CHEMBL1156909;CHEMBL1157522;CHEMBL1268866,1703611;1755215;1809610;1993555;2066382;2066385;2073437;2447252;2619913;3103017;3519217
CHEMBL558198,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1.Cl,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,pKi,9.721246399047171,9.721246399047171,9.721246399047171,0.0,9.721246399047171,9.721246399047171,0.0,False,4,4,4,1,1,0.19,0.19,0.19,38,528.4700000000003,B,CHEMBL826326;CHEMBL855824;CHEMBL863573;CHEMBL898074,CHEMBL1138952;CHEMBL1145195;CHEMBL1146891;CHEMBL1149575,1405687;1741987;1770550;1971685
CHEMBL1183989,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ncc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ncc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ncc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,pKi,9.494850021680094,9.494850021680094,9.494850021680094,0.0,9.494850021680094,9.494850021680094,0.0,False,1,1,1,1,1,0.32,0.32,0.32,39,547.561,B,CHEMBL663266,CHEMBL1132652,1042268
CHEMBL1183796,CCOCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2cccc(C(=N)N)c2)=NO1,CCOCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2cccc(C(=N)N)c2)=NO1,CCOCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2cccc(C(=N)N)c2)=NO1,pKi,9.096910013008056,9.096910013008056,9.096910013008056,0.0,9.096910013008056,9.096910013008056,0.0,False,1,1,1,1,1,0.8,0.8,0.8,37,522.5870000000002,B,CHEMBL663266,CHEMBL1132652,1053342
CHEMBL159418,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,pKi,9.039938336854638,9.039938336854638,9.039938336854638,0.34515058546182403,8.795880017344075,9.2839966563652,0.48811663902112556,False,2,2,2,1,1,1.06,0.52,1.6,39,545.5850000000002,B,CHEMBL661793;CHEMBL663266,CHEMBL1132652;CHEMBL1133078,1054614;522738
CHEMBL3091519,Cc1c(N2CCCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCN(C)CC1.Cl,Cc1c(N2CCCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCN(C)CC1,Cc1c(N2CCCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCN(C)CC1,pKi,9.0,9.0,9.0,0.0,9.0,9.0,0.0,False,1,1,1,1,1,1.0,1.0,1.0,37,568.1210000000001,B,CHEMBL3097585,CHEMBL3091444,13842627
CHEMBL3139247,Cc1c(N2CCCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCN(C)CC1,Cc1c(N2CCCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCN(C)CC1,Cc1c(N2CCCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCN(C)CC1,pKi,9.0,9.0,9.0,0.0,9.0,9.0,0.0,False,1,1,1,1,1,1.0,1.0,1.0,37,568.1210000000001,B,CHEMBL6187553,CHEMBL6182938,29322359
CHEMBL327331,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ncc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1.O=C(O)C(F)(F)F,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ncc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ncc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1,pKi,8.886056647693163,8.886056647693163,8.886056647693163,0.0,8.886056647693163,8.886056647693163,0.0,False,1,1,1,1,1,1.3,1.3,1.3,39,547.561,B,CHEMBL663266,CHEMBL1132652,1036490
CHEMBL328069,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1.O=C(O)C(F)(F)F,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,pKi,8.795880017344075,8.795880017344075,8.795880017344075,0.0,8.795880017344075,8.795880017344075,0.0,False,1,1,1,1,1,1.6,1.6,1.6,39,545.5850000000002,B,CHEMBL663266,CHEMBL1132652,1041117
CHEMBL263495,N=C(N)c1ccc2[nH]cc(C(Cc3ccccc3)C(=O)Nc3ccc(-n4cnc5ccccc54)cc3F)c2c1,N=C(N)c1ccc2[nH]cc(C(Cc3ccccc3)C(=O)Nc3ccc(-n4cnc5ccccc54)cc3F)c2c1,N=C(N)c1ccc2[nH]cc(C(Cc3ccccc3)C(=O)Nc3ccc(-n4cnc5ccccc54)cc3F)c2c1,pKi,8.602059991327963,8.602059991327963,8.602059991327963,0.0,8.602059991327963,8.602059991327963,0.0,False,1,1,1,1,1,2.5,2.5,2.5,39,516.5800000000002,B,CHEMBL833645,CHEMBL1137916,1456032
