molecule_chembl_id,canonical_smiles,canonical_smiles_rdkit,smiles,endpoint,target_pKi,target_value,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,p_endpoint_range,high_replicate_spread,n_activity_records,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids
CHEMBL559015,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CN)c2)c(F)c1.Cl,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CN)c2)c(F)c1,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CN)c2)c(F)c1,pKi,9.823908740944319,9.823908740944319,8.823908740944319,1.7320508075688772,6.823908740944319,9.823908740944319,3.0,True,3,3,3,1,1,0.15,0.15,150.0,37,532.5190000000002,B,CHEMBL661801;CHEMBL662444;CHEMBL863573,CHEMBL1134648;CHEMBL1138952;CHEMBL1145914,1188693;1741698;260451
CHEMBL471725,CN(C)C(=N)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,CN(C)C(=N)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,CN(C)C(=N)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,pKi,9.605209643917787,9.605209643917787,9.605209643917787,1.0625519364066298,8.853871964321762,10.356547323513812,1.5026753591920503,True,2,2,2,1,1,0.722,0.044,1.4,30,421.8880000000001,B,CHEMBL1273257;CHEMBL968695,CHEMBL1138586;CHEMBL1268866,2517468;3515044
CHEMBL222079,CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4cccc(C(N)=O)c4)c3C2=O)cc1,CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4cccc(C(N)=O)c4)c3C2=O)cc1,CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4cccc(C(N)=O)c4)c3C2=O)cc1,pKi,9.565971819088478,9.565971819088478,9.341399670170263,0.5700501090948397,8.431798275933005,9.853871964321762,1.4220736883887568,True,6,6,2,1,1,0.295,0.14,3.7,39,533.5540000000002,B,CHEMBL1273257;CHEMBL913626;CHEMBL913642;CHEMBL913643;CHEMBL913644;CHEMBL913645,CHEMBL1139730;CHEMBL1268866,1809542;1809588;1809589;1809590;1809591;3514968
CHEMBL55035,N=C(N)c1ccc(/C=C2/CCCC/C(=C/c3ccc(C(=N)N)cc3)C2=O)cc1,N=C(N)c1ccc(/C=C2/CCCC/C(=C/c3ccc(C(=N)N)cc3)C2=O)cc1,N=C(N)c1ccc(/C=C2/CCCC/C(=C/c3ccc(C(=N)N)cc3)C2=O)cc1,pKi,9.18045606445813,9.18045606445813,8.964722828330636,0.5284363490717194,7.886056647693163,9.18045606445813,1.2943994167649677,True,6,6,6,1,1,0.66,0.66,13.0,28,372.47200000000004,B,CHEMBL661584;CHEMBL661794;CHEMBL662823;CHEMBL662827;CHEMBL662837;CHEMBL662874,CHEMBL1130891;CHEMBL1130936;CHEMBL1131090;CHEMBL1131630;CHEMBL1132552;CHEMBL1133499,1028533;234795;347107;634853;809462;825492
CHEMBL7626,CS(=O)(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,CS(=O)(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,CS(=O)(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,pKi,8.721246399047171,8.721246399047171,8.054981299426627,1.2439727134125844,6.619788758288394,8.823908740944319,2.204119982655925,True,3,1,1,1,1,1.9,1.5,240.0,38,579.0600000000002,B,CHEMBL682004,CHEMBL1145764,345903;349904;388553
CHEMBL267438,NC(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,NC(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,NC(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc(Cl)c(N)c2)=NO1,pKi,8.602059991327963,8.602059991327963,8.12175696397289,0.8319092464081302,7.161150909262744,8.602059991327963,1.4409090820652182,True,3,1,1,1,1,2.5,2.5,69.0,37,543.9930000000003,B,CHEMBL682004,CHEMBL1145764,345896;382556;388550
CHEMBL437555,CCOC(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,CCOC(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,CCOC(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,pKi,8.585026652029182,8.585026652029182,8.534110253892269,0.732095573776549,7.522878745280337,9.301029995663981,1.7781512503836439,True,5,5,1,1,1,2.6,0.5,30.0,35,514.9910000000001,B,CHEMBL896753;CHEMBL896754;CHEMBL897883;CHEMBL897903;CHEMBL897904,CHEMBL1149671,1979755;1979919;1979920;1979921;1979925
CHEMBL551393,CO[C@H]1CN(CC(=O)Nc2ccc(-n3ccccc3=O)cc2F)C[C@@H]1NC(=O)c1ccc(Cl)s1,CO[C@H]1CN(CC(=O)Nc2ccc(-n3ccccc3=O)cc2F)C[C@@H]1NC(=O)c1ccc(Cl)s1,CO[C@H]1CN(CC(=O)Nc2ccc(-n3ccccc3=O)cc2F)C[C@@H]1NC(=O)c1ccc(Cl)s1,pKi,8.522878745280337,8.522878745280337,7.522878745280337,1.7320508075688772,5.522878745280337,8.522878745280337,3.0,True,3,3,3,1,1,3.0,3.0,3000.0,34,504.97100000000023,B,CHEMBL1059506;CHEMBL1227179;CHEMBL1273257,CHEMBL1152891;CHEMBL1221236;CHEMBL1268866,2679670;3422777;3519159
CHEMBL341979,N=C(N)c1ccc2c(c1)C(CC(=O)Nc1ccc(-c3ccccc3S(N)(=O)=O)cc1)CN2,N=C(N)c1ccc2c(c1)C(CC(=O)Nc1ccc(-c3ccccc3S(N)(=O)=O)cc1)CN2,N=C(N)c1ccc2c(c1)C(CC(=O)Nc1ccc(-c3ccccc3S(N)(=O)=O)cc1)CN2,pKi,8.216369153823063,8.216369153823063,8.216369153823063,1.3185738310885833,7.2839966563652006,9.148741651280925,1.8647449949157249,True,2,1,1,1,1,26.355,0.71,52.0,32,449.5360000000001,B,CHEMBL657716,CHEMBL1133520,615551;630768
CHEMBL268225,Nc1cc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl,Nc1cc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl,Nc1cc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl,pKi,8.0,8.0,7.547863890987006,0.9149643033588692,6.494850021680094,8.148741651280925,1.6538916296008317,True,3,1,1,1,1,10.0,7.1,320.0,38,553.9920000000002,B,CHEMBL682004,CHEMBL1145764,359994;362430;364091
