molecule_chembl_id,canonical_smiles,canonical_smiles_rdkit,smiles,endpoint,target_pKi,target_value,p_endpoint_mean,p_endpoint_std,p_endpoint_min,p_endpoint_max,p_endpoint_range,high_replicate_spread,n_activity_records,n_unique_assays,n_unique_documents,n_unique_original_smiles,n_unique_rdkit_smiles,median_standard_value_nM,min_standard_value_nM,max_standard_value_nM,heavy_atom_count,mol_wt_rdkit,assay_type_set,assay_chembl_ids,document_chembl_ids,activity_ids
CHEMBL346857,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ncc(-c3ccccc3S(N)(=O)=O)cn2)c1,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ncc(-c3ccccc3S(N)(=O)=O)cn2)c1,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ncc(-c3ccccc3S(N)(=O)=O)cn2)c1,pKi,12.0,12.0,12.0,0.0,12.0,12.0,0.0,False,1,1,1,1,1,0.001,0.001,0.001,37,530.4920000000001,B,CHEMBL662444,CHEMBL1134648,229682
CHEMBL226775,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN2CCN=C2SC)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN2CCN=C2SC)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN2CCN=C2SC)c1Cl,pKi,11.397940008672037,11.397940008672037,11.397940008672037,0.0,11.397940008672037,11.397940008672037,0.0,False,1,1,1,1,1,0.004,0.004,0.004,36,584.9380000000002,B,CHEMBL889317,CHEMBL1145379,1901377
CHEMBL226776,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN2C=NCC2)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN2C=NCC2)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN2C=NCC2)c1Cl,pKi,11.397940008672037,11.397940008672037,11.397940008672037,0.0,11.397940008672037,11.397940008672037,0.0,False,1,1,1,1,1,0.004,0.004,0.004,34,538.8440000000003,B,CHEMBL889317,CHEMBL1145379,1901375
CHEMBL387857,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCC2)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCC2)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCC2)c1Cl,pKi,11.397940008672037,11.397940008672037,11.397940008672037,0.0,11.397940008672037,11.397940008672037,0.0,False,1,1,1,1,1,0.004,0.004,0.004,36,566.8980000000003,B,CHEMBL889317,CHEMBL1145379,1901382
CHEMBL2448441,Br.CC1(C)C2CC1[C@]1(C)OB(C(CCC/C(S)=N/N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)NC(=O)OCc3ccccc3)O[C@@H]1C2,CC1(C)C2CC1[C@]1(C)OB(C(CCC/C(S)=N/N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)NC(=O)OCc3ccccc3)O[C@@H]1C2,CC1(C)C2CC1[C@]1(C)OB(C(CCC/C(S)=N/N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)NC(=O)OCc3ccccc3)O[C@@H]1C2,pKi,11.3767507096021,11.3767507096021,11.3767507096021,0.0,11.3767507096021,11.3767507096021,0.0,False,1,1,1,1,1,0.0042,0.0042,0.0042,50,703.7150000000003,B,CHEMBL657715,CHEMBL1128727,482697
CHEMBL427421,CNc1nccn1Cc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c1Cl,CNc1nccn1Cc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c1Cl,CNc1nccn1Cc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c1Cl,pKi,11.301029995663981,11.301029995663981,11.301029995663981,0.0,11.301029995663981,11.301029995663981,0.0,False,2,2,2,1,1,0.005,0.005,0.005,36,565.87,B,CHEMBL1273257;CHEMBL889317,CHEMBL1145379;CHEMBL1268866,1901369;3515023
CHEMBL226879,CCNc1nccn1Cc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c1Cl,CCNc1nccn1Cc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c1Cl,CCNc1nccn1Cc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c1Cl,pKi,11.301029995663981,11.301029995663981,11.301029995663981,0.0,11.301029995663981,11.301029995663981,0.0,False,1,1,1,1,1,0.005,0.005,0.005,37,579.897,B,CHEMBL889317,CHEMBL1145379,1901368
CHEMBL260160,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1ccc(-n2ccccc2=O)cc1F,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1ccc(-n2ccccc2=O)cc1F,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1ccc(-n2ccccc2=O)cc1F,pKi,11.301029995663981,11.301029995663981,11.301029995663981,0.0,11.301029995663981,11.301029995663981,0.0,False,1,1,1,1,1,0.005,0.005,0.005,36,527.3390000000003,B,CHEMBL930381,CHEMBL1145623,2166705
CHEMBL347307,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2F)n(-c2cccc(C(=N)N)c2)n1,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2F)n(-c2cccc(C(=N)N)c2)n1,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2F)n(-c2cccc(C(=N)N)c2)n1,pKi,11.301029995663981,11.301029995663981,11.301029995663981,0.0,11.301029995663981,11.301029995663981,0.0,False,1,1,1,1,1,0.005,0.005,0.005,35,492.53600000000023,B,CHEMBL662444,CHEMBL1134648,259233
CHEMBL390969,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(Cn2ccnc2N)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(Cn2ccnc2N)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(Cn2ccnc2N)c1Cl,pKi,11.221848749616356,11.221848749616356,11.221848749616356,0.0,11.221848749616356,11.221848749616356,0.0,False,1,1,1,1,1,0.006,0.006,0.006,35,551.8430000000002,B,CHEMBL889317,CHEMBL1145379,1901370
