feature_set,split_type,split,model,n,rmse,mae,r2,spearman_r,spearman_p
Morgan_2048,scaffold,train,RandomForest,2586,0.3021687218442141,0.21176932691881967,0.9700405794602827,0.9866491984500476,0.0
Morgan_2048,scaffold,valid,RandomForest,554,0.9963254374749323,0.7602347216605678,0.6242852944118501,0.7925068926069021,1.2009149833381607e-120
Morgan_2048,scaffold,test,RandomForest,555,0.9733220318996079,0.7279664388991355,0.6612939699542646,0.8125299262029726,1.0038715044026997e-131
Morgan_2048,scaffold,train,XGBoost,2586,0.44022029458167167,0.3339245319366455,0.9364120960235596,0.9684819553638211,0.0
Morgan_2048,scaffold,valid,XGBoost,554,1.0222174091214282,0.7835851907730103,0.604503870010376,0.7795654986751251,2.9528098138479793e-114
Morgan_2048,scaffold,test,XGBoost,555,1.0233277123656168,0.7435040473937988,0.6255970001220703,0.7927709706548897,5.357612560654671e-121
Morgan_2048,scaffold,train,LightGBM,2586,0.3228103291956689,0.2257814962782135,0.9658076272344156,0.9825892045193171,0.0
Morgan_2048,scaffold,valid,LightGBM,554,1.0170403438138045,0.757694914324991,0.6084996827774485,0.7844288951797849,1.319820517968827e-116
Morgan_2048,scaffold,test,LightGBM,555,0.9864519086314344,0.7310296617074663,0.6520942110161589,0.8058901160374363,5.546378145848473e-128
RDKit_2D_raw,scaffold,train,RandomForest,2586,0.32738168193329065,0.24123052076762835,0.9648323664598483,0.9859263022816768,0.0
RDKit_2D_raw,scaffold,valid,RandomForest,554,1.0706272368873702,0.8243662739931232,0.5661572622043198,0.7521025795805177,4.959078513755247e-102
RDKit_2D_raw,scaffold,test,RandomForest,555,1.0992704776111084,0.835282260149019,0.5679649818745943,0.7556771484331133,1.0291461034907554e-103
RDKit_2D_raw,scaffold,train,XGBoost,2586,0.24999846517568566,0.16815364360809326,0.9794926643371582,0.9896582206905337,0.0
RDKit_2D_raw,scaffold,valid,XGBoost,554,1.0565929014248727,0.7972923517227173,0.5774568319320679,0.7564564603381344,7.353101097404841e-104
