split_type,split,row_index,molecule_chembl_id,model_smiles,scaffold_smiles,y_true_pKi,y_pred_pKi,residual_true_minus_pred,abs_error,rf_tree_std,MW,LogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,RingCount,uncertainty_rank_desc,abs_error_rank_desc
scaffold,test,1213,CHEMBL6163067,CS(=O)(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,O=C(CCc1ccccc1)NCC(=O)c1nccs1,8.036212172654444,7.93377025103342,0.10244192162102461,0.10244192162102461,2.5720812073171215,594.7200000000003,-1.0153299999999938,239.32,7.0,9.0,17.0,40.0,2.0,1.0,999.0
scaffold,test,650,CHEMBL162461,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)Cc2ccccc2)CC1=O)C(=O)c1nccs1,O=C(CN1CCN(S(=O)(=O)Cc2ccccc2)CC1=O)NCC(=O)c1nccs1,8.853871964321762,8.058567883157732,0.79530408116403,0.79530408116403,2.41719117151458,535.6520000000003,-0.2519299999999951,178.64999999999998,4.0,8.0,12.0,36.0,3.0,2.0,405.0
scaffold,test,1012,CHEMBL355376,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2cccc3cccnc23)CC1=O)C(=O)c1nccs1,O=C(CN1CCN(S(=O)(=O)c2cccc3cccnc23)CC1=O)NCC(=O)c1nccs1,8.356547323513812,7.32618904969806,1.030358273815752,1.030358273815752,2.289749814121138,572.6730000000002,0.1551700000000027,191.53999999999996,4.0,9.0,11.0,39.0,4.0,3.0,281.0
scaffold,test,2483,CHEMBL4081543,CC(C)[C@H](NC(=O)[C@H](Cc1cscn1)NC(=O)CCc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,O=C(CNC(=O)C(Cc1cscn1)NC(=O)CCc1ccccc1)NCC(=O)c1nc2ccccc2s1,6.063123241157463,6.5606769436836245,-0.4975537025261616,0.4975537025261616,2.1813147062077363,676.8690000000001,3.1846700000000006,192.05,6.0,9.0,17.0,47.0,4.0,5.0,609.0
scaffold,test,1527,CHEMBL4464524,CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccc(C(=O)NCc3ccc(C(=O)O)cc3)cc2s1,O=C(NCc1ccccc1)c1ccc2ncsc2c1,7.537602002101044,6.745822000764666,0.7917800013363783,0.7917800013363783,2.0049663777028948,908.0999999999999,0.7679399999999958,362.5799999999999,13.0,12.0,27.0,64.0,3.0,8.0,410.0
scaffold,test,2295,CHEMBL4587327,CC[C@H](NC(C)=O)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccc(C(=O)NC3CCNCC3)cc2s1,O=C(NC1CCNCC1)c1ccc2ncsc2c1,6.349692476868063,6.592723771578926,-0.24303129471086304,0.24303129471086304,2.0010004953916827,771.9899999999998,0.37817000000000706,275.4099999999999,10.0,11.0,21.0,54.0,3.0,9.0,843.0
scaffold,test,1872,CHEMBL6172535,COCCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,O=C(CCc1ccccc1)NCC(=O)c1nc2ccccc2s1,6.991399828238082,6.622056482443356,0.36934334579472594,0.36934334579472594,1.9935589808761178,652.7780000000001,0.7413700000000041,231.47999999999996,7.0,9.0,19.0,46.0,3.0,10.0,715.0
scaffold,test,3117,CHEMBL607009,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCn1nnnc1N)B1O[C@@H]2CC3CC(C3(C)C)[C@]2(C)O1,O=C(NC(CCCn1cnnn1)B1OC2CC3CC(C3)C2O1)C1CCCN1C(=O)CCc1ccccc1,5.221848749616356,6.740808588027955,-1.5189598384115985,1.5189598384115985,1.958847499531118,620.5640000000001,1.5262000000000038,166.58999999999997,3.0,10.0,11.0,45.0,7.0,12.0,130.0
scaffold,test,1464,CHEMBL164419,N=C(N)N1CCC(C[C@@H](NS(=O)(=O)Cc2ccccc2-n2cnnn2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)CC1,O=C(CNC(=O)C(CC1CCNCC1)NS(=O)(=O)Cc1ccccc1-n1cnnn1)NC1CCCNC1,7.638272163982407,6.61243244770595,1.0258397162764572,1.0258397162764572,1.810275852382756,633.7399999999999,-2.645459999999993,274.42,8.0,11.0,11.0,44.0,4.0,19.0,285.0
scaffold,test,3586,CHEMBL164985,O=C(O)CN[C@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)NCC1CCc2n[nH]cc2C1,O=C(NCC1CCc2n[nH]cc2C1)C1CCCN1C(=O)CCC1CCCCC1,4.071604147743286,5.476014150301616,-1.40441000255833,1.40441000255833,1.7623534793419937,459.5910000000002,1.635,127.42000000000002,4.0,5.0,9.0,33.0,4.0,23.0,163.0
