split,uncertainty_decile,n,mean_uncertainty,median_uncertainty,mean_abs_error,median_abs_error,rmse
valid,0,56,0.5636384604592182,0.5803947459559967,0.3521689983287635,0.28650058032859604,0.4549049076106848
valid,1,55,0.763797264486449,0.7598355682875867,0.5157447671172581,0.4411601812727248,0.6326550610207486
valid,2,55,0.8571067580691623,0.8571575905793172,0.7579086800350259,0.6532434151389133,1.004203847155531
valid,3,56,0.9390088765464019,0.942282195902185,0.617200817441563,0.48012473461432714,0.7976383320867888
valid,4,55,1.018417863381211,1.0154638252723014,0.690726207445797,0.4607374217804052,0.909477912051896
valid,5,55,1.111051231707151,1.1094869247239807,0.6621134310685404,0.4379022916285251,0.8792182093820191
valid,6,56,1.202638719246634,1.201118097016166,0.7827654024050188,0.7034221037997725,0.9644369174275835
valid,7,55,1.3146698580645133,1.3107867421212585,0.8355867161745274,0.6794370309021698,1.035749128831188
valid,8,55,1.4486618122213584,1.4527156658558638,1.1109018095389873,0.90636694438719,1.3652173702015469
valid,9,56,1.6748029521714933,1.6257051203504458,1.2774369842581415,1.1241478546489243,1.4858345492334297
test,0,56,0.5689951153153375,0.5922349625810222,0.4363841162721283,0.33397309519711094,0.5818093239893946
test,1,55,0.7768526690927857,0.7719325218655715,0.6098165532547479,0.45142430189889726,0.8604970242257424
test,2,56,0.8842998917540218,0.8849029505388368,0.6346110740157568,0.5709035355409804,0.8647110004698676
test,3,55,0.9728597428107904,0.9747832404016726,0.6235319373773603,0.4621763728507631,0.8596342815217164
test,4,56,1.040200080361142,1.0407671439063089,0.6129485901770043,0.44558341225760945,0.7840321924636604
test,5,55,1.120063872544196,1.1274996311852798,0.6933920476318665,0.554548568840711,0.952046691900197
test,6,55,1.2066311297103536,1.2048518229575425,0.7837297911447565,0.5814370500762136,1.0191139860631167
test,7,56,1.3209809090082765,1.3227418555840547,0.8714701004351868,0.7825960850409666,1.069569315566914
test,8,55,1.4533600650172138,1.4494224305963326,0.8254489383159173,0.6486802135887038,1.0488132758025102
test,9,56,1.6992389448374996,1.62954086268884,1.186475567314906,1.122806836390585,1.449286603684178
