seed,arm,acquisition_round,rank_within_batch,row_index,molecule_chembl_id,model_smiles,target_pKi,acquisition_score_rf_tree_std
11,random,1,1,1165,CHEMBL309879,Cc1nccn1-c1cccc(Oc2cc(C(=O)O)cc(Oc3cc(C(=N)N)ccc3O)n2)c1,8.09691047668457,
11,random,1,2,1163,CHEMBL232325,Cc1ccc(C(=O)N[C@@H]2CCC[C@@H]2NC(=O)c2ccc(-n3ccccc3=O)cc2)s1,8.101274490356445,
11,random,1,3,1436,CHEMBL49510,O=C(CN1CCN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CC1=O)NCCc1c[nH]cn1,7.677780628204346,
11,random,1,4,2392,CHEMBL419661,Cc1c(F)c(Oc2cccc(OC(C)C)c2)nc(Oc2cccc(C(=N)N)c2)c1F,6.207608222961426,
11,random,1,5,1623,CHEMBL328772,N=C(N)c1ccc2[nH]c(-c3cccc(Br)c3O)cc2c1,7.3665313720703125,
11,random,1,6,3434,CHEMBL180105,COc1cc(CNc2ccc(C(=N)N)cc2)c(NS(C)(=O)=O)cc1OCc1ccccc1,4.585026741027832,
11,random,1,7,967,CHEMBL21140,Cc1cc(C(=O)Nc2ccc(C(=N)N(C)C)cc2F)n(-c2cc3ccccc3cc2F)n1,8.408935546875,
11,random,1,8,1073,CHEMBL7854,Nc1cc(C2=NOC(CNS(N)(=O)=O)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl,8.259636878967285,
11,random,1,9,2996,CHEMBL3706845,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3c(c2)C(=O)c2ccccc2C3=O)C(=O)N2CCC(C(=O)NCCN)CC2)c1,5.397940158843994,
11,random,1,10,1746,CHEMBL3134463,CCOC(=O)C1CCCCN1c1ccc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,7.206209659576416,
11,random,1,11,2869,CHEMBL4452533,CCOC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@]4(C)C[C@]3(CC[C@@H]21)C/C4=N/O,5.576098918914795,
11,random,1,12,3653,CHEMBL322542,CCCCS(=O)(=O)Nc1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,3.7471470832824707,
